player,position,points,start_price,end_price,next_price,price_boost
Fabianski,GK,133,5,5,5,0
Ogbonna,DEF,100,5,4.7,5,0
Cresswell,DEF,153,5,5.7,6.5,1.5
Antonio,FWD,118,6.5,6.7,7,0.5
Fredericks,DEF,28,4.5,4.2,4.5,0
Lanzini,MID,28,6.5,6.4,6,-0.5
Haller,FWD,41,6.5,6.1,6,-0.5
Masuaku,DEF,42,4.5,4.3,4.5,0
Balbuena,DEF,39,4.5,4.1,4.5,0
Bowen,MID,141,6.5,5.8,6.5,0
Rice,MID,86,5,4.7,5,0
Soucek,MID,147,5,5.2,6,1
Fornals,MID,125,6.5,5.8,6.5,0
Diop,DEF,42,4.5,4.3,4.5,0
Johnson,DEF,25,4,3.9,4.5,0.5
Coufal,DEF,128,4.5,4.8,5.5,1
Dawson,DEF,75,4.5,4.5,5,0.5
Benrahma,MID,73,6,5.9,6,0
Moutinho,MID,73,5.5,5.1,5,-0.5
Patrício,GK,132,5.5,5.3,5.5,0
Boly,DEF,68,5.5,5.4,5,-0.5
Coady,DEF,106,5,4.9,5,0
Jiménez,FWD,43,8.5,8.1,7.5,-1
Saïss,DEF,99,5,4.9,5,0
Dendoncker,MID,77,5,4.6,5,0
Traoré,MID,94,6.5,6,6,-0.5
Neves,MID,104,5.5,5.1,5.5,0
Podence,MID,75,5.5,5.3,5.5,0
Kilman,DEF,58,4,3.8,4.5,0.5
Neto,MID,124,5.5,5.5,6,0.5
Fabio Silva,FWD,72,5.5,5.2,5.5,0
Marçal,DEF,19,5,4.7,4.5,-0.5
Vitinha,MID,26,5,4.7,5,0
Hoever,DEF,13,4.5,4.4,4.5,0
Semedo,DEF,109,5.5,5.1,5.5,0
Ait Nouri,DEF,54,5,5,5,0
Willian José,FWD,40,7,6.8,6,-1
