season,league,team,player,player_id,fantasy_position,mins,matches,raw_score,bonus_score,full_score,goals,assists,clean_sheets,yellows,reds,own_goals,key_passes,xG_buildup,team_final_scored,team_final_conceded,raw_bonus,avg_bonus_rank,raw_score_p_90,bonus_score_p_90,full_score_p_90,goals_p_90,assists_p_90,clean_sheets_p_90,yellows_p_90,reds_p_90,own_goals_p_90,key_passes_p_90,xG_buildup_p_90,team_final_scored_p_90,team_final_conceded_p_90,raw_bonus_p_90,raw_score_p_match,bonus_score_p_match,full_score_p_match,goals_p_match,assists_p_match,clean_sheets_p_match,yellows_p_match,reds_p_match,own_goals_p_match,key_passes_p_match,xG_buildup_p_match,team_final_scored_p_match,team_final_conceded_p_match,raw_bonus_p_match
2014-15,Bundesliga,Dortmund,Henrikh Mkhitaryan,317,MID,1919,28,79,8,87,3,4,8,4,0,0,45,6.201,38,31,324,13.268,3.705,0.375,4.08,0.141,0.188,0.375,0.188,0,0,2.11,0.291,1.782,1.454,15.195,2.821,0.286,3.107,0.107,0.143,0.286,0.143,0,0,1.607,0.221,1.357,1.107,11.571
2014-15,Bundesliga,Dortmund,Ilkay Gündogan,314,MID,1913,23,77,8,85,3,4,7,2,0,0,28,9.189,34,28,332,9.478,3.623,0.376,3.999,0.141,0.188,0.329,0.094,0,0,1.317,0.432,1.6,1.317,15.619,3.348,0.348,3.696,0.13,0.174,0.304,0.087,0,0,1.217,0.4,1.478,1.217,14.435
2014-15,Bundesliga,Dortmund,Jakub Blaszczykowski,1966,MID,599,13,20,0,20,0,0,2,0,0,0,15,2.687,20,12,97,16.615,3.005,0,3.005,0,0,0.301,0,0,0,2.254,0.404,3.005,1.803,14.574,1.538,0,1.538,0,0,0.154,0,0,0,1.154,0.207,1.538,0.923,7.462
2014-15,Bundesliga,Dortmund,Kevin Großkreutz,2664,MID,1044,17,34,0,34,0,2,1,2,0,0,15,1.157,18,25,126,15.647,2.931,0,2.931,0,0.172,0.086,0.172,0,0,1.293,0.1,1.552,2.155,10.862,2,0,2,0,0.118,0.059,0.118,0,0,0.882,0.068,1.059,1.471,7.412
2014-15,Bundesliga,Dortmund,Kevin Kampl,188,MID,723,13,24,0,24,0,1,3,2,0,0,10,2.683,19,9,99,15.808,2.988,0,2.988,0,0.124,0.373,0.249,0,0,1.245,0.334,2.365,1.12,12.324,1.846,0,1.846,0,0.077,0.231,0.154,0,0,0.769,0.206,1.462,0.692,7.615
2014-15,Bundesliga,Dortmund,Łukasz Piszczek,310,DEF,1652,22,37,3,40,0,1,3,4,0,0,16,4.768,29,30,180,15.909,2.016,0.163,2.179,0,0.054,0.163,0.218,0,0,0.872,0.26,1.58,1.634,9.806,1.682,0.136,1.818,0,0.045,0.136,0.182,0,0,0.727,0.217,1.318,1.364,8.182
2014-15,Bundesliga,Dortmund,Marcel Schmelzer,313,DEF,1921,22,74,3,77,0,2,9,4,0,0,34,6.774,32,22,327,9.591,3.467,0.141,3.607,0,0.094,0.422,0.187,0,0,1.593,0.317,1.499,1.031,15.32,3.364,0.136,3.5,0,0.091,0.409,0.182,0,0,1.545,0.308,1.455,1,14.864
2014-15,Bundesliga,Dortmund,Marco Reus,319,MID,1574,20,93,16,109,7,5,6,1,0,0,49,5.912,30,23,376,7.45,5.318,0.915,6.233,0.4,0.286,0.343,0.057,0,0,2.802,0.338,1.715,1.315,21.499,4.65,0.8,5.45,0.35,0.25,0.3,0.05,0,0,2.45,0.296,1.5,1.15,18.8
2014-15,Bundesliga,Dortmund,Mats Hummels,373,DEF,2034,24,83,3,86,2,0,9,2,0,0,9,5.786,30,25,309,11.188,3.673,0.133,3.805,0.088,0,0.398,0.088,0,0,0.398,0.256,1.327,1.106,13.673,3.458,0.125,3.583,0.083,0,0.375,0.083,0,0,0.375,0.241,1.25,1.042,12.875
2014-15,Bundesliga,Dortmund,Matthias Ginter,315,DEF,840,14,27,1,28,0,1,3,1,0,1,4,0.362,21,16,91,19.607,2.893,0.107,3,0,0.107,0.321,0.107,0,0.107,0.429,0.039,2.25,1.714,9.75,1.929,0.071,2,0,0.071,0.214,0.071,0,0.071,0.286,0.026,1.5,1.143,6.5
